ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,Redshift,RedshiftFlag
2MASXJ03183683+4101090,1237670457511249007,49.65363691462439,41.019211493051706,5817,301,2,244,GALAXY,17.42,15.51265,14.63899,14.19876,13.87425,0.015416,SPEC
UGC02626,1237661083199078715,49.2490384325056,41.356596998938706,3634,301,5,104,GALAXY,16.97932,14.89955,13.90296,13.40745,12.99668,0.021208,
2MASXJ03222170+4114299,1237661059574595783,50.5904926781996,41.24159488667421,3629,301,1,71,GALAXY,17.4831,15.44827,14.5003,14.04313,13.74261,0.012830000000000001,SPEC
LCSBS0541P,1237661055281988410,50.3391547703146,41.0246258212553,3628,301,1,107,GALAXY,18.281979999999997,16.50913,15.652629999999998,15.235710000000001,14.95691,0.01819,SPEC
2MASXJ03202564+4204137,1237661060111138987,50.106890469953605,42.0703538554828,3629,301,2,66,GALAXY,18.97136,17.09279,16.16928,15.73701,15.36871,0.015649,SPEC
UGC02639,1237661055818400274,49.460023581535,41.9675946575428,3628,301,2,100,GALAXY,16.962,14.913110000000001,13.9489,13.46574,13.11365,0.013453,
2MASXJ03172721+4155002,1237661059574072500,49.3634825294994,41.9166021596547,3629,301,1,63,GALAXY,17.75134,15.7887,14.856520000000002,14.40383,14.036270000000002,0.017556,SPEC
2MASXJ03221984+4108529,1237661059574596006,50.5828639622029,41.148055853670996,3629,301,1,71,GALAXY,18.19598,16.19966,15.28266,14.84634,14.6702,0.016548,SPEC
2MASXJ03210436+4057169,1237661083199471975,50.2683354725255,40.954715723196,3634,301,5,110,GALAXY,18.072129999999998,16.11364,15.223170000000001,14.740870000000001,14.4054,0.014913999999999998,SPEC
UGC02672,1237661083199406555,50.021626536925496,40.9062377938816,3634,301,5,109,GALAXY,16.67091,14.93286,14.19317,13.80316,13.498439999999999,0.014333000000000002,
IC0310,1237661083199078708,49.1790722793694,41.3248987088024,3634,301,5,104,GALAXY,15.189329999999998,13.36,12.322280000000001,11.78011,11.45618,0.018940000000000002,
2MASXJ03165120+4115212,1237661083199079644,49.2134396761816,41.255767693152706,3634,301,5,104,GALAXY,17.87248,16.15117,15.301960000000001,14.90214,14.60765,0.005554,
2MASXJ03220261+4158250,1237661056355598369,50.5108666964564,41.9734820646661,3628,301,3,105,GALAXY,17.631120000000003,15.499329999999999,14.516689999999999,13.9938,13.64525,0.019363,
