No.	|	Object Name	|	RA	|	DEC	|	Type	|	Velocity	|	Redshift	|	Redshift Flag	|	Magnitude and Filter	|	Separation	|	References	|	Notes	|	Photometry Points	|	Positions	|	Redshift Points	|	Diameter Points	|	Associations
98	|	2MASX J03213127+4132509	|	 50.38029 	|	  41.54747 	|	G	|	  3862	|	 0.012881 	|	SPEC	|	     	|	 19.416	|	1	|	0	|	19	|	3	|	1	|	2	|	0
99	|	2MASX J03181800+4140307	|	 49.57500 	|	  41.67525 	|	G	|	  4848	|	 0.016171 	|	    	|	17.1:	|	 19.505	|	9	|	1	|	25	|	6	|	3	|	2	|	0
100	|	2MASXi J0318058+413452	|	 49.52450 	|	  41.58133 	|	G	|	  5754	|	 0.019193 	|	SPEC	|	18.4 	|	 19.588	|	2	|	0	|	9	|	3	|	1	|	0	|	0
101	|	2MASX J03200718+4149583	|	 50.03000 	|	  41.83283 	|	G	|	  4240	|	 0.014143 	|	    	|	16.1 	|	 19.594	|	9	|	0	|	19	|	3	|	1	|	2	|	0
102	|	CGCG 540-115	|	 50.39258 	|	  41.50617 	|	G	|	  7036	|	 0.023470 	|	    	|	15.6 	|	 19.859	|	21	|	1	|	29	|	8	|	3	|	2	|	0
103	|	2MASX J03185439+4148111	|	 49.72675 	|	  41.80308 	|	G	|	  4463	|	 0.014887 	|	    	|	17.0:	|	 20.160	|	8	|	1	|	14	|	2	|	2	|	2	|	0
104	|	2MASX J03183170+4116259	|	 49.63204 	|	  41.27397 	|	G	|	  5319	|	 0.017742 	|	    	|	16.6:	|	 20.227	|	8	|	1	|	23	|	4	|	2	|	2	|	0
105	|	NGC 1264	|	 49.49821 	|	  41.52028 	|	G	|	  3246	|	 0.010827 	|	    	|	16.0 	|	 20.334	|	23	|	1	|	22	|	7	|	5	|	5	|	1
106	|	2MASX J03195520+4110212	|	 49.97996 	|	  41.17258 	|	G	|	  4902	|	 0.016350 	|	SPEC	|	17.9 	|	 20.390	|	2	|	0	|	19	|	4	|	2	|	2	|	0
107	|	2MASX J03180178+4135337	|	 49.50738 	|	  41.59269 	|	G	|	  4227	|	 0.014100 	|	    	|	16.8:	|	 20.489	|	8	|	1	|	15	|	2	|	2	|	2	|	0
108	|	2MASX J03175762+4129496	|	 49.49000 	|	  41.49722 	|	G	|	  4741	|	 0.015814 	|	    	|	16.6 	|	 20.718	|	12	|	0	|	26	|	7	|	3	|	2	|	0
109	|	NGC 1293	|	 50.40191 	|	  41.39282 	|	G	|	  4173	|	 0.013920 	|	    	|	14.50	|	 21.509	|	53	|	3	|	29	|	13	|	10	|	6	|	0
110	|	2MASX J03182297+4116077	|	 49.59575 	|	  41.26886 	|	G	|	  3987	|	 0.013300 	|	    	|	17.0:	|	 21.622	|	7	|	0	|	15	|	1	|	0	|	2	|	0
111	|	2MASX J03210882+4115109	|	 50.28688 	|	  41.25303 	|	G	|	  4754	|	 0.015858 	|	    	|	17.1 	|	 21.679	|	6	|	0	|	18	|	5	|	3	|	2	|	0
112	|	2MASX J03181640+4144057	|	 49.56846 	|	  41.73492 	|	G	|	  6685	|	 0.022299 	|	    	|	16.0:	|	 21.754	|	13	|	1	|	15	|	2	|	1	|	2	|	0
113	|	2MASX J03193592+4109041	|	 49.89963 	|	  41.15111 	|	G	|	  5851	|	 0.019517 	|	    	|	16.1 	|	 21.757	|	10	|	0	|	23	|	4	|	1	|	2	|	0
114	|	CGCG 540-085	|	 49.46289 	|	  41.45077 	|	G	|	  4370	|	 0.014577 	|	    	|	15.0 	|	 22.228	|	36	|	0	|	30	|	10	|	7	|	3	|	0
115	|	2MASS J03213780+4121280	|	 50.40754 	|	  41.35779 	|	G	|	  6459	|	 0.021546 	|	SPEC	|	     	|	 22.531	|	0	|	0	|	6	|	2	|	1	|	0	|	0
116	|	NGC 1294	|	 50.41650 	|	  41.36056 	|	G	|	  6585	|	 0.021965 	|	    	|	14.3 	|	 22.832	|	33	|	4	|	29	|	9	|	6	|	7	|	0
117	|	2MASX J03191458+4108291	|	 49.81079 	|	  41.14144 	|	G	|	  8053	|	 0.026862 	|	    	|	15.3 	|	 23.092	|	18	|	1	|	16	|	3	|	5	|	3	|	0
118	|	2MASX J03190715+4108330	|	 49.77983 	|	  41.14258 	|	G	|	  7899	|	 0.026349 	|	SPEC	|	16.2 	|	 23.446	|	2	|	0	|	23	|	4	|	1	|	2	|	0
119	|	IC 0312	|	 49.53587 	|	  41.75410 	|	G	|	  4978	|	 0.016605 	|	    	|	14.4 	|	 23.612	|	44	|	3	|	16	|	11	|	11	|	6	|	0
120	|	SDSS J031808.40+414515.6	|	 49.53502 	|	  41.75436 	|	G	|	  4946	|	 0.016498 	|	SPEC	|	     	|	 23.652	|	0	|	0	|	0	|	1	|	1	|	0	|	0
121	|	SDSS J031808.40+414515.7	|	 49.53501 	|	  41.75436 	|	G	|	  4923	|	 0.016422 	|	SPEC	|	     	|	 23.653	|	0	|	0	|	0	|	1	|	1	|	0	|	0
122	|	2MASX J03180070+4117567	|	 49.50288 	|	  41.29906 	|	G	|	  4209	|	 0.014040 	|	SPEC	|	17.5 	|	 23.851	|	2	|	0	|	18	|	3	|	1	|	2	|	0
123	|	2MASX J03215746+4133080	|	 50.48946 	|	  41.55219 	|	G	|	  5813	|	 0.019390 	|	    	|	17.0 	|	 24.322	|	5	|	0	|	19	|	3	|	1	|	2	|	0
124	|	2MASS J03181307+4148087	|	 49.55456 	|	  41.80243 	|	UvS	|	  4835	|	 0.016127 	|	SPEC	|	     	|	 24.892	|	1	|	0	|	11	|	4	|	1	|	0	|	0
125	|	2MASX J03180647+4147567	|	 49.52696 	|	  41.79917 	|	G	|	  7992	|	 0.026658 	|	SPEC	|	     	|	 25.657	|	1	|	0	|	23	|	5	|	2	|	2	|	0
126	|	2MASX J03173200+4124425	|	 49.38333 	|	  41.41175 	|	G	|	  5957	|	 0.019870 	|	    	|	16.7:	|	 26.205	|	11	|	1	|	19	|	3	|	2	|	2	|	0
127	|	2MASX J03191203+4105211	|	 49.80013 	|	  41.08922 	|	G	|	  5109	|	 0.017042 	|	    	|	14.10	|	 26.241	|	21	|	0	|	23	|	4	|	1	|	2	|	0
128	|	2MASX J03172790+4129165	|	 49.36625 	|	  41.48797 	|	G	|	  4677	|	 0.015600 	|	    	|	16.0:	|	 26.301	|	15	|	1	|	19	|	4	|	3	|	2	|	0
129	|	IC 0313	|	 50.24125 	|	  41.89383 	|	G	|	  4432	|	 0.014784 	|	    	|	15.1 	|	 26.366	|	38	|	3	|	24	|	13	|	10	|	7	|	0
