Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag
 SDSS J012234.56+324958.1     ,20.64404,32.83283, *      ,-156,-0.000522, SPEC          
 SDSS J012413.06+324721.4     ,21.05442,32.78929, G      ,83514,0.278573, SPEC          
 2MASS J01243136+3248233      ,21.13094,32.80651, G      ,82081,0.273793, SPEC          
 SDSS J012558.77+331401.8     ,21.49491,33.23386, G      ,194557,0.648972, SPEC          
 SDSS J012129.62+332535.1     ,20.37343,33.42642, G      ,132557,0.442163, SPEC          
 2MASS J01242790+3342437      ,21.11631,33.71217, G      ,91411,0.304914, SPEC          
 SDSS J012443.09+324921.4     ,21.17956,32.82262, G      ,82682,0.275798, SPEC          
 2MASS J01242139+3247186      ,21.08914,32.78851, G      ,81949,0.273351, SPEC          
 2MASS J01243631+3248235      ,21.15141,32.80657, G      ,83992,0.280166, SPEC          
 SDSS J012255.08+324725.2     ,20.72967,32.79054, UvS    ,-233,-0.000778, SPEC          
 SDSS J012229.38+334055.2     ,20.62245,33.68201, G      ,133079,0.443904, SPEC          
 WHL J012229.4+334055         ,20.62245,33.68201, GClstr ,133078,0.4439, SPEC          
 2MASX J01255989+3319164      ,21.4995,33.32125, G      ,37320,0.124487, SPEC          
 SDSS J012149.59+325653.2     ,20.45662,32.94812, G      ,183225,0.611172, SPEC          
 SDSS J012124.61+330645.5     ,20.3526,33.11266, QSO    ,684428,2.283007,               
 2MASX J01244522+3341425      ,21.18838,33.69508, G      ,45931,0.153209, SPEC          
 SDSS J012448.19+324917.2     ,21.20083,32.82146, G      ,81935,0.273307, SPEC          
 SDSS J012118.10+331215.9     ,20.32545,33.20444, *      ,382,0.001273, SPEC          
 SDSS J012519.77+325407.1     ,21.33238,32.90199, G      ,170430,0.568493, SPEC          
 SDSS J012602.64+331706.5     ,21.511,33.28514, G      ,163031,0.543812, SPEC          
 SDSS J012517.07+333724.2     ,21.32115,33.62341, *      ,-64,-0.000215, SPEC          
 SDSS J012345.62+334526.9     ,20.94041,33.75643, UvS    ,-118,-0.000395, SPEC          
 SDSS J012559.70+332238.0     ,21.49856,33.37737, UvS    ,-258,-0.000862, SPEC          
 CGCG 502-074                 ,21.04542,32.76619, G      ,6024,0.020094,               
 2MASS J01225656+3246385      ,20.73567,32.77745, *      ,-13,-0.000043, SPEC          
 SDSS J012124.46+330504.1     ,20.3523,33.0849, UvS    ,241683,0.806166, SPEC          
 2MASX J01211822+3309310      ,20.32625,33.15861, G      ,4086,0.013629,               
 2MASS J01244009+3247558      ,21.16708,32.79876, G      ,83548,0.278687, SPEC          
 SDSS J012304.84+324602.0     ,20.77019,32.76724, QSO    ,762026,2.541845, SPEC          
 SDSS J012507.81+333929.5     ,21.28256,33.65819, G      ,222843,0.743324, SPEC          
 2MASX J01255535+3326144      ,21.48083,33.43722, G      ,14661,0.048904,               
 SDSS J012156.18+325354.4     ,20.48403,32.89847, UvS    ,-122,-0.000406, SPEC          
 SDSS J012139.58+333251.0     ,20.41516,33.54811, UvS    ,290863,0.970216, SPEC          
 2MASS J01234338+3345589      ,20.9306,33.76657, G      ,83348,0.278019, SPEC          
 WHL J012114.3+331907         ,20.30948,33.31852, GClstr ,135566,0.4522, SPEC          
 2MASS J01214803+3255210      ,20.45021,32.92257, UvS    ,-45,-0.000151, SPEC          
 SDSS J012117.66+330700.6     ,20.32468,33.11655, UvS    ,-159,-0.000532, SPEC          
 SDSS J012434.86+324643.5     ,21.14526,32.77877, G      ,84395,0.28151, SPEC          
