ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
IC0313,1237661060111204787,50.2412948262008,41.8938503627283,3629,301,2,67,GALAXY,17.14068,14.80663,13.69792,13.05868,12.60417
2MASXJ03181953+4151218,1237661059574137345,49.5813214451,41.8559828361365,3629,301,1,64,GALAXY,18.46471,16.40472,15.42749,14.96581,14.58707
2MASXJ03220908+4127029,1237661055818858633,50.5378202470075,41.450777418286,3628,301,2,107,GALAXY,18.2543,16.19774,15.22594,14.74675,14.37607
2MASXJ03172788+4136465,1237661055281595012,49.3662782084635,41.6130051417239,3628,301,1,101,GALAXY,17.38022,15.13657,14.03379,13.47249,13.10215
2MASXJ03190609+4104571,1237661083199275630,49.7753493525707,41.082545874735,3634,301,5,107,GALAXY,17.39963,15.2261,14.15896,13.66531,13.30249
NGC1265,1237661059574137336,49.5651933081503,41.857709011357,3629,301,1,64,GALAXY,24.63466,25.11438,18.31263,18.19501,15.93664
NGC1260,1237661083199079030,49.3634408394467,41.405188931729,3634,301,5,104,GALAXY,16.20445,13.94446,12.99654,12.52062,12.14012
2MASSJ03215637+4117540,1237661059574531029,50.4849246057506,41.2983642792742,3629,301,1,70,GALAXY,19.17907,17.21938,16.33503,15.94333,15.62619
MCG+07-07-048,1237661083199143980,49.3714379671369,41.3755139354642,3634,301,5,105,GALAXY,16.91127,15.02097,14.11494,13.73729,13.36288
2MASXJ03194584+4158352,1237661060111074083,49.9410884069404,41.9764093262535,3629,301,2,65,GALAXY,17.5089,15.43932,14.43351,13.93224,13.51104
2MASXJ03173289+4117495,1237661083199144302,49.3869972160436,41.2969890446872,3634,301,5,105,GALAXY,17.6945,15.70001,14.75744,14.30756,13.9452
2MASXJ03221922+4126439,1237661055818858862,50.580227081671,41.4454066361421,3628,301,2,107,GALAXY,18.28402,16.21207,15.21932,14.71379,14.31165
2MASXJ03171766+4125172,1237661083199079603,49.3236841370695,41.4214466732543,3634,301,5,104,GALAXY,18.28172,16.38366,15.45531,14.98141,14.62984
2MASXJ03215149+4147500,1237661060111270442,50.4645521324912,41.797250846622,3629,301,2,68,GALAXY,18.28086,16.07971,14.95787,14.35785,13.91122
2MASSJ03212427+4108088,1237661055281988793,50.3513890519603,41.1358669689464,3628,301,1,107,GALAXY,18.81988,17.16922,16.2971,15.89998,15.60275
2MASXJ03190350+4158269,1237661055818531808,49.7646076986198,41.9741404379117,3628,301,2,102,GALAXY,17.96925,15.92397,14.95337,14.45088,14.10313
UGC02656,1237661083199275476,49.6812283711219,41.0724997398026,3634,301,5,107,GALAXY,17.01401,14.93777,13.93176,13.38929,13.00987
