ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
SDSSJ012532.67+332857.6,1237678893352682092,21.3861305546748,33.482691630368,7781,301,3,73,GALAXY,22.32233,21.11778,19.37819,18.65326,18.22355
SDSSJ012550.24+331330.7,1237678892815810914,21.4593529915812,33.2252023493751,7781,301,2,73,STAR,20.25798,19.88597,19.76504,19.63974,19.37989
SDSSJ012414.56+334142.6,1237678893352550950,21.0606873679324,33.6951930950803,7781,301,3,71,GALAXY,21.15558,20.23106,19.25538,18.9358,18.45752
2MASXJ01254263+3305165,1237678892815810897,21.4277858768573,33.0878030608327,7781,301,2,73,GALAXY,17.83842,16.07277,15.27146,14.88254,14.55668
SDSSJ012141.46+332750.9,1237678806920069887,20.4227769792883,33.4641638577887,7761,301,2,128,GALAXY,22.7895,20.86485,19.04698,18.3777,17.92835
SDSSJ012536.12+332847.7,1237678893352682137,21.4005177562818,33.4799420036318,7781,301,3,73,GALAXY,26.65139,22.08784,20.38687,19.23509,18.69082
SDSSJ012210.59+325452.9,1237666214614991179,20.5441616467913,32.9147080523125,4829,301,3,161,STAR,21.21161,20.11068,19.86338,19.73673,19.77491
SDSSJ012337.63+334308.7,1237678893352485599,20.9068255668383,33.7190995634416,7781,301,3,70,GALAXY,22.69906,21.87553,20.51699,19.58968,18.9741
SDSSJ012549.38+332147.2,1237678806920463096,21.4557580930579,33.3631195285009,7761,301,2,134,GALAXY,23.48359,20.89033,19.20165,18.5318,18.08748
SDSSJ012436.87+325013.9,1237666214078120786,21.1536318861665,32.8371992719505,4829,301,2,161,GALAXY,24.68345,21.3182,19.77958,19.21484,18.86403
SDSSJ012320.01+324742.9,1237678892278743153,20.8334203613954,32.7952417996386,7781,301,1,70,GALAXY,23.33925,21.64027,20.77998,20.03462,21.06318
IC1679,1237678806920069384,20.4354657326086,33.4937263478069,7761,301,2,128,GALAXY,16.96743,15.1395,14.27538,13.84812,13.53683
WHLJ012425.7+324858,1237666214078120397,21.1071582869789,32.816126454009,4829,301,2,161,GALAXY,21.85405,18.73558,17.10012,16.51356,16.16536
2MASXJ01242569+3248575,1237666214078120397,21.1071582869789,32.816126454009,4829,301,2,161,GALAXY,21.85405,18.73558,17.10012,16.51356,16.16536
