ObjectName,RA,DEC,Redshift,RedshiftFlag
2MASXJ03163712+4147215,49.15471,41.78931,0.017880,SPEC
2MASXJ03210025+4208327,50.25095,42.14224,0.018376,
SDSSJ032051.44+420956.3,50.21434,42.16566,0.023077,SPEC
2MASXJ03222930+4103009,50.62229,41.05031,0.017259,
UGC02642,49.47983,40.92664,0.020531,
2MASXJ03214217+4205549,50.42575,42.09864,0.018466,SPEC
2MASXJ03232697+4124235,50.86238,41.40647,0.015434,
2MASXJ03224672+4156285,50.69463,41.94122,0.020590,SPEC
LCSBS0531P,49.70583,40.82761,0.019779,SPEC
2MASXJ03162705+4110487,49.11275,41.18019,0.014977,SPEC
