ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
SDSSJ010312.98+321015.5,1.23768E+18,15.80412485,32.17099525,8111,301,4,169,GALAXY,21.84424,20.92611,20.07267,19.36259,18.91043
SDSSJ010940.25+331203.8,1.23768E+18,17.41771792,33.20107702,7781,301,1,51,GALAXY,21.70781,20.30223,18.66326,18.00359,17.58036
SDSSJ010332.84+315932.1,1.23768E+18,15.88685107,31.99225234,8150,301,3,126,STAR,23.21592,21.08146,20.76718,20.6593,20.45455
SDSSJ010503.14+331114.8,1.23768E+18,16.26309538,33.18745922,8112,301,6,32,GALAXY,22.16791,22.32557,21.19478,20.17757,19.77322
SDSSJ010303.96+322904.0,1.23768E+18,15.76653774,32.48445058,8111,301,5,169,GALAXY,25.13819,22.86362,21.4151,19.86958,19.171
2MASXJ01082570+3318299,1.23768E+18,17.10704316,33.30826598,7781,301,1,49,GALAXY,19.08309,17.08938,16.06798,15.54783,15.11591
SDSSJ010343.18+315522.1,1.23768E+18,15.92993591,31.92282237,8150,301,3,127,STAR,23.04413,22.11404,21.98699,22.05756,20.73538
SDSSJ011023.68+330527.0,1.23768E+18,17.59868612,33.09084215,7781,301,1,52,GALAXY,22.61553,22.2213,20.74375,19.45031,18.83585
SDSSJ010456.03+313912.0,1.23768E+18,16.23347976,31.65333743,8111,301,3,172,GALAXY,23.13721,22.09396,20.55444,19.57231,19.15832
2MASSJ01050834+3312196,1.23768E+18,16.28467963,33.20542503,8112,301,6,32,GALAXY,24.72797,20.86108,19.05624,18.37445,17.88644
XMMXCSJ0110.3+3305,1.23768E+18,17.59970087,33.09483252,7781,301,1,52,STAR,24.75294,25.05481,24.59432,23.99239,19.91751
X-CLASS1191,1.23768E+18,17.60117541,33.09494813,7781,301,1,52,GALAXY,23.03782,22.06818,20.49512,19.33816,18.70623
[HLX2013]J010307.25+323653.6,1.23768E+18,15.78021759,32.61489259,8111,301,5,169,STAR,20.12158,19.57622,19.19694,19.04244,18.75807
SDSSJ010919.36+331458.1,1.23768E+18,17.33066954,33.24949743,7781,301,1,50,GALAXY,24.32887,21.13927,19.76621,18.95848,18.48974
SDSSJ010851.56+313211.6,1.23768E+18,17.2148743,31.53657972,8111,301,3,178,GALAXY,23.9997,21.51015,19.70852,18.96907,18.52384
2MASSJ01054270+3316141,1.23768E+18,16.42787717,33.27060766,7781,301,1,45,STAR,20.7078,18.21165,17.24455,16.91961,16.737
SDSSJ010851.16+331735.5,1.23768E+18,17.21316543,33.29322082,7781,301,1,50,GALAXY,22.0057,21.78989,20.72401,19.65191,19.30084
